,Composition,As-cast/other,HardGPa
170,Al17.5Co25Cr7.5Fe25Ni25,1.0,3.08
171,Al17.5Cr7.5Fe25Co25Ni25,1.0,3.08
172,Al17.9Co17.9Cr17.9Fe17.9Ni17.9Mn10.7,1.0,4.8
173,Al17.9Co20.5Cr20.5Fe20.5Ni20.5,1.0,5.28
174,Al17.9Cr20.5Fe20.5Co20.5Ni20.5,1.0,5.28
175,Al17Co18.9Cr18.9Cu7.5Fe18.9Ni18.9,1.0,5.49
176,Al17Cr18.9Fe18.9Co18.9Cu7.5Ni18.9,1.0,5.49
177,Al18.2Co18.2Cr18.2Cu18.2Fe18.2Ni9.1,1.0,4.15
178,Al18.2Co18.2Cr18.2Cu18.2Fe9.1Ni18.2,1.0,4.1
179,Al18.2Co18.2Cr18.2Cu9.1Fe18.2Ti18.2,1.0,7.88
180,Al18.2Co18.2Cr18.2Fe18.2Ni18.2Mo9.1,1.0,7.33
181,Al18.2Co18.2Cr18.2Fe18.2Ni18.2Ti9.1,1.0,4.97
182,Al18.2Co18.2Cr18.2Fe18.2Ni27.3,1.0,4.93
183,Al18.2Co18.2Cr9.1Cu18.2Fe18.2Ni18.2,1.0,3.6
184,Al18.2Co27.3Cu18.2Fe18.2Ni18.2,1.0,3.59
185,Al18.2Co9.1Cr18.2Cu18.2Fe18.2Ni18.2,1.0,4.64
186,Al18.2Cr18.2Cu18.2Fe18.2Ni18.2Ti9.1,1.0,4.51
187,Al18.2Cr18.2Fe18.2Co18.2Cu18.2Ni9.1,1.0,4.15
188,Al18.2Cr18.2Fe18.2Co18.2Ni18.2Mo9.1,1.0,7.33
189,Al18.2Cr18.2Fe18.2Co18.2Ni27.3,1.0,4.93
190,Al18.2Cr18.2Fe18.2Co9.1Cu18.2Ni18.2,1.0,4.64
191,Al18.2Cr18.2Fe9.1Co18.2Cu18.2Ni18.2,1.0,4.1
192,Al18.2Cr9.1Fe18.2Co18.2Cu18.2Ni18.2,1.0,3.6
193,Al18.2Fe18.2Co27.3Cu18.2Ni18.2,1.0,3.59
194,Al18.4Co20.4Cr20.4Fe20.4Ni20.4,1.0,5.17
195,Al18.4Cr20.4Fe20.4Co20.4Ni20.4,1.0,5.17
196,Al18.5Cr18.5Cu18.5Fe18.5Ni25.9,1.0,3.62
197,Al18.5Cr18.5Fe18.5Cu18.5Ni25.9,1.0,3.62
198,Al18.9Co18.9Cr18.9Fe18.9Ni18.9Mn5.7,1.0,4.91
199,Al18Cr10Fe10Co30Ni29Mo3,1.0,3.53
200,Al18Cr10Fe10Co30Ni31Mo,1.0,3.5
201,Al19.2Co19.2Cr19.2Fe19.2Ni19.2Ti3.8,1.0,4.58
202,Al19.2Cr19.2Cu19.2Fe19.2Ni23.1,1.0,4.0
203,Al19.2Cr19.2Fe19.2Cu19.2Ni23.1,1.0,4.0
204,Al19.4Co16.1Cr16.1Fe16.1Ni16.1Ti16.1,1.0,6.63
205,Al19.4Cr16.1Cu16.1Fe16.1Ni32.3,1.0,5.11
206,Al19.4Cr16.1Fe16.1Cu16.1Ni32.3,1.0,5.11
207,Al19.6Co19.6Cr19.6Cu2Fe19.6Ni19.6,1.0,5.67
208,Al19.6Co19.6Cr19.6Fe11.8Ni19.6Mo9.8,1.0,7.39
209,Al19.6Cr19.6Fe11.8Co19.6Ni19.6Mo9.8,1.0,7.39
210,Al19.6Cr19.6Fe19.6Co19.6Cu2Ni19.6,1.0,5.67
211,Al1Cr1Fe0.6Co1Ni1Mo0.5,1.0,7.39
212,Al1Cr1Fe1.5Co1Ni1Mo0.5,1.0,6.23
213,Al1Cr1Fe1Co0.5Ni1Mo0.5,1.0,7.86
214,Al1Cr1Fe1Co1.5Ni1Mo0.5,1.0,7.27
215,Al1Cr1Fe1Co1Mo0.5,1.0,8.4
216,Al1Cr1Fe1Co1Ni0.5Mo0.5,1.0,6.94
217,Al1Cr1Fe1Co1Ni1.5Mo0.5,1.0,5.75
218,Al1Cr1Fe1Co1Ni1Mo0.5,1.0,7.345
219,Al1Cr1Fe1Co1Ni2Mo0.5,1.0,3.87
220,Al1Cr1Fe1Co2Ni1Mo0.5,1.0,5.75
225,Al1Cr1Fe1Ni1Mo0.2,1.0,5.38
226,Al1Cr1Fe1Ni1Mo0.5,1.0,6.109999999999999
227,Al1Cr1Fe1Ni1Mo0.8,1.0,8.38
228,Al1Cr1Fe2Co1Ni1Mo0.5,1.0,6.27
229,Al1Fe1Co1Cu1Ni0.5,1.0,4.23
230,Al1Fe1Co1Cu1Ni0.8,1.0,4.12
231,Al1Fe1Co1Cu1Ni1.5,1.0,3.18
232,Al2.4Co24.4Cr24.4Fe24.4Ni24.4,1.0,1.16
233,Al2.4Cr24.4Fe24.4Co24.4Ni24.4,1.0,1.16
234,Al2.5Co25Cr22.5Fe25Ni25,1.0,1.33
235,Al2.5Cr1Fe1Co1Ni1,1.0,4.78
236,Al2.5Cr22.5Fe25Co25Ni25,1.0,1.33
237,Al20.2Co16.8Cr16.8Fe16.8Ni16.8Ti12.6,1.0,6.89
238,Al20.6Co15.9Cr15.9Cu15.9Fe15.9Ni15.9,1.0,4.64
239,Al20.6Co15.9Cr15.9Fe15.9Ni31.7,1.0,3.33
240,Al20.6Cr15.9Fe15.9Co15.9Cu15.9Ni15.9,1.0,4.64
241,Al20.6Cr15.9Fe15.9Co15.9Ni31.7,1.0,3.33
242,Al20.8Cr20.8Cu20.8Fe20.8Ni16.7,1.0,4.77
243,Al20.8Cr20.8Fe20.8Cu20.8Ni16.7,1.0,4.77
